id,longitude,latitude,depth,vs30,condition
node16,-89.92683617,35.02370357,0,250,soil
node17,-89.70766587,35.01183659,0,250,soil
node18,-89.92745084,35.05474076,0,250,soil
node19,-89.98103669,35.06373939,0,250,soil
node20,-90.03042814,35.06263404,0,250,soil
node21,-90.14341551,35.08098885,0,250,soil
node22,-90.06784033,35.11231206,0,250,soil
node23,-89.98601804,35.10791707,0,250,soil
node24,-89.64792841,35.10701206,0,250,soil
node25,-89.86156562,35.10044297,0,250,soil
node26,-89.7350963,35.12399089,0,250,soil
node27,-90.02293201,35.127798,0,250,soil
node28,-89.78479894,35.13230478,0,250,soil
node29,-90.03318903,35.15542381,0,250,soil
node30,-89.74608324,35.16004019,0,250,soil
node31,-89.94971131,35.14533183,0,250,soil
node32,-89.65750269,35.20729453,0,250,soil
node33,-90.01565482,35.23400242,0,250,soil
node34,-89.97776674,35.23164731,0,250,soil
node35,-89.84746817,35.22648628,0,250,soil
node36,-89.7380697,35.27529715,0,250,soil
node37,-90.01740756,35.26053609,0,250,soil
node38,-89.76512096,35.31581533,0,250,soil
node39,-89.93270655,35.26910016,0,250,soil
node40,-89.80377706,35.29615531,0,250,soil
node41,-89.75848284,35.33466442,0,250,soil
node42,-89.82262603,35.34489932,0,250,soil
node43,-89.95678774,35.35644957,0,250,soil
node44,-89.91259467,35.34633922,0,250,soil
node45,-89.94969084,35.36866126,0,250,soil
node46,-89.91343946,35.36384787,0,250,soil
node47,-89.95239691,35.38588648,0,250,soil
node48,-89.91047588,35.38669926,0,250,soil
node49,-89.67219871,35.38030169,0,250,soil
pipe1,-89.83386821,35.03479272,0,250,soil
pipe2,-89.86719198,35.02229126,0,250,soil
pipe3,-89.75901449,35.01225859,0,250,soil
pipe4,-90.06082457,35.01453146,0,250,soil
pipe5,-89.96969058,35.01788167,0,250,soil
pipe6,-90.0195148,35.0351682,0,250,soil
pipe7,-90.12137372,35.05601879,0,250,soil
pipe8,-89.89127684,35.05525717,0,250,soil
pipe9,-89.85544662,35.0809363,0,250,soil
pipe10,-89.77154808,35.06742168,0,250,soil
pipe11,-90.02819821,35.08043832,0,250,soil
pipe12,-90.04810546,35.10471088,0,250,soil
pipe13,-90.00442065,35.10056559,0,250,soil
pipe14,-90.02497542,35.11279109,0,250,soil
pipe15,-89.92624445,35.08472836,0,250,soil
pipe16,-89.95758865,35.10875957,0,250,soil
pipe17,-89.89715128,35.10727221,0,250,soil
pipe18,-89.97750622,35.12265584,0,250,soil
pipe19,-89.94411664,35.12911745,0,250,soil
pipe20,-89.65121353,35.14192127,0,250,soil
pipe21,-89.69507221,35.16033942,0,250,soil
pipe22,-89.64787056,35.19451806,0,250,soil
pipe23,-90.02507623,35.15443467,0,250,soil
pipe24,-90.02034736,35.1402607,0,250,soil
pipe25,-89.98382848,35.14982759,0,250,soil
pipe26,-89.99752082,35.19213792,0,250,soil
pipe27,-89.81446417,35.19299935,0,250,soil
pipe28,-89.87559626,35.14038277,0,250,soil
pipe29,-89.82374243,35.15556179,0,250,soil
pipe30,-89.90729678,35.16625223,0,250,soil
pipe31,-89.84960956,35.20257974,0,250,soil
pipe32,-89.78137928,35.17100355,0,250,soil
pipe33,-89.75745223,35.18186487,0,250,soil
pipe34,-89.71332295,35.20330418,0,250,soil
pipe35,-89.95851611,35.19058594,0,250,soil
pipe36,-89.96768388,35.23546949,0,250,soil
pipe37,-89.90568427,35.22369103,0,250,soil
pipe38,-89.94087833,35.25200819,0,250,soil
pipe39,-89.72951235,35.31888977,0,250,soil
pipe40,-89.72656413,35.33151742,0,250,soil
pipe41,-89.68159745,35.35249615,0,250,soil
pipe42,-90.04214213,35.29699295,0,250,soil
pipe43,-89.9981018,35.35053308,0,250,soil
pipe44,-89.78135635,35.37644362,0,250,soil
pipe45,-89.74718111,35.3552015,0,250,soil
pipe46,-89.7061094,35.38153279,0,250,soil
pipe47,-89.8222514,35.36085419,0,250,soil
pipe48,-89.86902836,35.36999809,0,250,soil
pipe49,-89.92720797,35.03921935,0,250,soil
pipe50,-89.95747824,35.05631309,0,250,soil
pipe51,-90.00574865,35.06299904,0,250,soil
pipe52,-89.97976498,35.08578379,0,250,soil
pipe53,-90.08589118,35.07076386,0,250,soil
pipe54,-90.04942138,35.13315851,0,250,soil
pipe55,-89.69351396,35.11498823,0,250,soil
pipe56,-89.76037171,35.12584541,0,250,soil
pipe57,-89.74478127,35.142764,0,250,soil
pipe58,-90.02944432,35.19661565,0,250,soil
pipe59,-89.68553118,35.24939376,0,250,soil
pipe60,-89.99361145,35.23657696,0,250,soil
pipe61,-90.01584509,35.24704687,0,250,soil
pipe62,-89.98251465,35.27132308,0,250,soil
pipe63,-89.7618019,35.32523988,0,250,soil
pipe64,-89.87503508,35.2959733,0,250,soil
pipe65,-89.93473069,35.35119122,0,250,soil
pipe66,-89.95323929,35.36255542,0,250,soil
pipe67,-89.91303653,35.35509262,0,250,soil
pipe68,-89.93156515,35.36625456,0,250,soil
pipe69,-89.95051003,35.37734459,0,250,soil
pipe70,-89.91195767,35.37527357,0,250,soil
pipe71,-89.9315179,35.38462764,0,250,soil
